ID,Module ID,Module,Requirement Name,Requirement Description,Sign off,Status
1,1,Login,Login เข้าระบบ,Login เข้าใช้ระบบจาก email,,
2,2,จัดการรถ,แสดงสถานะรถ ว่าง/ไม่ว่าง,สามารถดูสถานะรถ ว่าง/ไม่ว่าง ได้โดยแสดงเป็นบรรทัดและแสดงสถานะของรถแต่ละคันเป็นรายบรรทัด,,
3,2,จัดการรถ,สร้างรถเข้าระบบ,"สามารถสร้างรถเข้าในระบบ/แก้ไขข้อมูลรถในระบบ
รายละเอียดที่ต้องบันทึก
- ประเภทรถ
- ยี้ห้อ
- รุ่น
- ปีที่ผลิต
- สี
- ทะเบียนรถ
- เลขเครื่องยนต์
- เลขตัวถัง
- เลขไมล์ (update เลขไมล์ตามบันทึกรายการ)
- สร้างรายการ
- วันที่สร้างรายการ
- หมายเหตุ",,
4,2,จัดการรถ,"สร้างรายการบำรุงรักษา/ต่อภาษี,ประกัน","สามารถสร้างรายการบำรุงรักษา/ต่อภาษี,ประกัน
- สร้างรายการบำรุงรักษา/ต่อภาษี,ประกัน ได้เอง เช่นรอบการเปลี่ยนถ่ายน้ำมันเครื่อง,พ.ร.บ,ประกันการ
- กำหนดระยะการเตือนจาก เลขไมล์ล่าสุด (update เลขไมล์ล่าสุด ณ ช่วงเวลาที่เพิ่มรายการไปผูกกับรถ)
- กำหนดเวลาการเตือนก่อนถึงระยะได้เอง [Date target - Date(Now) = count date]",,
5,2,จัดการรถ,"แสดงการแจ้งเตือง บำรุงรักษา/ต่อภาษี,ประกัน","สามารถแสดงรายการแจ้งเตือนการบำรุงรักษา/ต่อภาษี,ประกัน ของรถแต่ละคันได้ โดยแสดงสัญลักษณ์ในบรรทัดของรถแต่ละคัน ให้ผู้ใช้งานทราบว่าต้องทำการบำรุงรักษา/ต่อภาษี,ประกัน โดยแสดงเป็นสัญลักษณ์ให้ทราบ",,
6,2,จัดการรถ,"บันทึกการชำระค่าบำรุงรักษา/ต่อภาษี,ประกัน","เมื่อทำการการบำรุงรักษา/ต่อภาษี,ประกัน ของรถแต่ละคันแล้ว สามารถเข้ามาบันทึกรายการ และเพิ่มรายการบำรุงรักษา/ต่อภาษี,ประกัน ในรอบต่อไปของรถแต่ละคัน",,
7,3,ข้อมูลลูกค้า,สร้าง/แก้ไข ข้อมูลลูกค้า,"สามารถสร้างข้อมูลลูกค้าเข้าระบบ/แก้ไขข้อมูลลูกค้าในระบบ
รายละเอียดที่ต้องบันทึก
- ชื่อ-สกุล
- เบอร์โทรศัพท์
- หมายเหตุ
- บันทึกภาพถ่ายสำเนาบัตรประชาชน
- บันทึกภาพถ่ายใบขับขี่",,
8,3,ข้อมูลลูกค้า,เรียกดูประวัติการใช้บริการ,สามามรถเรียกดูประวัติการใช้บริการของลูกค้าได้รายคนตามช่วงวันที่ให้ผู้ใช้งานกำหนดเอง,,
9,4,ข้อมูลบริการ,สร้าง/แก้ไข รายการบริการ,"สามารถสร้าง/แก้ไข รายการบริการ เพื่อนำไปผูกกับรถเมื่อมีลูกค้ามาใช้บริการรถคันนั้น
ยกตัวอย่างเช่น ค่าบริการเช่ารถรายวัน,ค่าบริการเช่ารถ 5 วัน,ค่าบริการเช่ารถ โปรโมชั่น XXXX โดยผู้ใช้งานสามารถกำหนด ชื่อของรายการบริการเองได้ กำหนดจำนวนวันของรายการบริการนั้นๆได้เอง กำหนดราคารายการบริการได้เอง(เป็นรายวันเพื่อนำไปคำนวนยอดรวมทั้งหมด)
รายละเอียดที่ต้องกำหนด
- ชื่อรายการบริการ
- จำนวนวัน
- ราคาค่าบริการ(รายวัน)
- หมายเหตุ",,
10,5,บันทึกรายการ,บันทึกรายการเช่ารถ,"สามารถบันทึกรายการเช่ารถได้ดังนี้
- เลือกรถให้เช่าได้ โดยแสดงเฉพาะรถที่มีสถานะว่าง พร้อมให้เช่า
- เลือกลูกค้าเก่าที่เคยใช้บริการแล้วได้โดยสามารถค้นหาได้จากรายชื่อ เบอร์โทร
- สามารถสร้างลูกค้าใหม่ได้จากหน้านี้และเลือกลูกค้าที่ที่สร้างใหม่ผูกกับรถที่เช่าได้ทันที
- กำหนดวันที่เริ่มเช่า/วันสิ้นสุดการเช่า
- คำนวนราคาค่าบริการให้อัตโนมัติ (อ้างอิงจากข้อมูลบริการที่สร้างไว้)
- แก้ไขราคาค่าบริการต่อวันได้จากหน้านี้
- เพิ่มเงื่อนไขอื่นๆในหมายเหตุการเช่ารถ ระบุในเอกสารการ",,
11,5,บันทึกรายการ,พิมพ์เอกสาร/บันทึกเอกสาร,"สามารถพิมพ์เอกสารได้ดังนี้
- เอกสารตรวจรับรถก่อนส่งมอบ (Vehicle Health Check)
- เอกสารสัญญาค่าบริการ
- พิมพ์เอกสารการรับเงิน/มัดจำ
สามารถบันทึกภาพเอกสารได้ดังนี้
- เอกสารตรวจรับรถคืน (Vehicle Health Check)
- เอกสารสัญญาค่าบริการ
- เอกสารการรับเงิน/มัดจำ",,
12,6,รายงาน,รายงานงานการรับเงินค่าเช่า,สามารถออกรายงานการรับเงินค่าเช่าได้ ตามช่วงเวลา เรียกดูได้จากระบบ Export เป็น PDF,,
13,6,รายงาน,รายงานการจ่ายเงินค่าบำรุงรักษาและอื่นๆ,สามารถออกรายงานการจ่ายเงินค่าบำรุงรักษาและอื่นๆ ตามช่วงเวลา เรียกดูได้จากระบบ Export เป็น PDF,,
14,6,รายงาน,รายงานค้างชำระ ตามรายชื่อลูกค้า,สามารถออกรายงานค้างชำระ ตามรายชื่อลูกค้า ตามช่วงเวลา เรียกดูได้จากระบบ Export เป็น PDF,,
15,6,รายงาน,รายงานการใช้บริการของลูกค้า,สามารถออกรายงานการใช้บริการของลูกค้า ตามช่วงเวลา เรียกดูได้จากระบบ Export เป็น PDF,,
16,7,ตั้งค่า,สร้าง/แก้ไขผู้ใช้งานระบบ,สามารถสร้างผู้ใช้งานใหม่/แก้ไขข้อมูลผู้ใช้งาน,,
